# Matrix for position: 1
200	-520	-500	-660	
-620	190	-580	0	
-510	-510	240	-610	
-660	-560	-600	120	

# Matrix for position: 2
190	-550	-570	-670	
-580	210	-590	-50	
-560	-550	210	-650	
-650	-590	-620	140	

# Matrix for position: 3
180	-610	-590	-670	
-610	210	-600	-100	
-600	-580	210	-630	
-650	-560	-600	170	

# Matrix for position: 4
180	-620	-590	-660	
-620	200	-600	-160	
-600	-580	210	-620	
-650	-610	-610	170	

# Matrix for position: 5
180	-620	-570	-660	
-610	210	-610	-210	
-570	-600	200	-620	
-650	-600	-630	180	

# Matrix for position: 6
180	-600	-620	-640	
-610	210	-610	-220	
-600	-570	200	-640	
-650	-620	-630	180	

# Matrix for position: 7
190	-600	-620	-650	
-630	200	-600	-290	
-530	-610	210	-620	
-640	-620	-630	180	

# Matrix for position: 8
190	-620	-610	-650	
-630	200	-620	-320	
-560	-600	200	-630	
-640	-600	-630	190	

# Matrix for position: 9
190	-620	-630	-650	
-630	200	-610	-380	
-510	-610	200	-620	
-630	-600	-620	180	

# Matrix for position: 10
190	-600	-590	-630	
-590	200	-610	-360	
-480	-610	200	-620	
-640	-630	-630	180	

# Matrix for position: 11
190	-630	-580	-650	
-620	200	-610	-390	
-510	-610	210	-630	
-650	-600	-610	180	

# Matrix for position: 12
190	-630	-630	-640	
-630	200	-620	-400	
-440	-620	200	-630	
-640	-590	-610	190	

# Matrix for position: 13
190	-630	-600	-630	
-620	200	-620	-420	
-500	-620	200	-590	
-640	-560	-590	190	

# Matrix for position: 14
190	-610	-630	-640	
-610	200	-620	-420	
-490	-600	200	-630	
-640	-560	-630	190	

# Matrix for position: 15
190	-600	-600	-610	
-600	200	-610	-450	
-520	-620	200	-610	
-630	-610	-610	190	

# Matrix for position: MIDDLE
190	-810	-760	-830	
-800	200	-830	-460	
-590	-810	200	-760	
-860	-790	-770	190	

# Matrix for position: -15
190	-600	-620	-620	
-620	200	-620	-470	
-480	-620	200	-600	
-640	-610	-630	180	

# Matrix for position: -14
190	-570	-600	-600	
-620	200	-620	-460	
-490	-580	200	-600	
-620	-610	-580	190	

# Matrix for position: -13
190	-620	-610	-610	
-620	200	-620	-490	
-450	-620	200	-550	
-640	-610	-590	190	

# Matrix for position: -12
190	-620	-610	-620	
-620	200	-620	-480	
-490	-610	190	-610	
-640	-580	-590	190	

# Matrix for position: -11
190	-580	-600	-600	
-600	200	-620	-490	
-500	-600	200	-570	
-640	-630	-620	180	

# Matrix for position: -10
190	-580	-590	-640	
-610	200	-620	-470	
-460	-590	190	-560	
-640	-580	-610	190	

# Matrix for position: -9
190	-600	-610	-600	
-630	200	-620	-480	
-460	-610	190	-590	
-630	-600	-630	190	

# Matrix for position: -8
190	-580	-590	-640	
-630	200	-590	-470	
-430	-600	200	-530	
-640	-580	-600	190	

# Matrix for position: -7
190	-610	-580	-640	
-630	200	-580	-500	
-400	-620	200	-530	
-640	-600	-600	190	

# Matrix for position: -6
190	-580	-590	-580	
-600	210	-590	-570	
-380	-610	200	-520	
-630	-600	-580	180	

# Matrix for position: -5
190	-570	-600	-590	
-600	200	-550	-520	
-360	-610	200	-430	
-650	-610	-590	180	

# Matrix for position: -4
180	-540	-480	-580	
-610	200	-540	-470	
-320	-570	200	-480	
-630	-590	-570	180	

# Matrix for position: -3
180	-530	-450	-550	
-590	200	-460	-510	
-240	-610	200	-410	
-650	-560	-500	180	

# Matrix for position: -2
170	-530	-480	-550	
-600	200	-470	-510	
-180	-530	220	-260	
-630	-530	-530	170	

# Matrix for position: -1
140	-470	-480	-510	
-620	200	-440	-420	
-70	-320	250	-100	
-670	-430	-480	160	



